code,name,category,spec_group,group_detail,n_true_inputs
69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,mechanical,S3-top-down-model,"partial input list (5) from a process description, no direct flows",5
359ffce6-23b6-3ee0-a57b-6a8dd6712f85,"Reinforcing steel, import to CH",metals,S3-top-down-model,"partial input list (7) from a process description, no direct flows",7
3653b40f-90e6-3e41-a90f-9a8a6a7f1728,"Process specific emissions and resources, from uranium milling, at mill plant",minerals,S1-report-transcription,input list (12) + direct flows (54) available (report table),12
3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",natural gas,S1-report-transcription,input list (4) + direct flows (7) available (report table),4
069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",nuclear waste,S3-top-down-model,"partial input list (8) from a process description, no direct flows",8
8864a76d-c49e-364e-a29c-e6f058cff472,"Crude oil, at production onshore",oil,S1-report-transcription,input list (16) + direct flows (16) available (report table),16
9235f765-2c0e-3fc9-afb2-3423071eef4f,"Paper, woodfree, uncoated, at regional storage",paper+ board,S3-top-down-model,"partial input list (5) from a process description, no direct flows",5
16cdeb49-8b38-415b-b354-053f356a9be3,"3kWp flat roof installation, multi-Si, on roof",photovoltaic,S1-report-transcription,input list (7) + direct flows (1) available (report table),7
a4273d5b-5258-343d-9462-8369960dc122,"Transport, natural gas, pipeline, long distance",pipeline,S1-report-transcription,input list (14) + direct flows (9) available (report table),14
4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",plastics,S3-top-down-model,"partial input list (4) from a process description, no direct flows",4
d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",power plants,S1-report-transcription,input list (8) + direct flows (38) available (report table),8
9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",private consumption,S3-top-down-model,"partial input list (15) from a process description, no direct flows",15
f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",textiles,S3-top-down-model,"partial input list (4) from a process description, no direct flows",4
